"","ID","Name","Birthdate","City_of_birth"
"118",4119150,"Kobalia, Mikhail","1978-05-03",NA
"119",12909572,"Kollars, Dmitrij","1999-08-13","Bremen"
"120",14113007,"Kononenko, Dmitry","1988-08-23","Dnipro"
"121",14105730,"Korobov, Anton","1985-06-25","Mezhdurechensk"
"122",14117908,"Kovalenko, Igor","1988-12-29","Novomoskovsk"
"123",13504398,"Kovalev, Vladislav","1994-01-06","Minsk"
"124",114987,"Kovalyov, Anton","1992-03-04","Kharkiv"
"125",4101588,"Kramnik, Vladimir","1975-06-25","Tuapse"
"126",14113147,"Kravtsiv, Martyn","1990-11-26","Lviv"
"127",14109182,"Kryvoruchko, Yuriy","1986-12-19","Lviv"
"128",14112906,"Kuzubov, Yuriy","1990-01-26","Sychyovka"
"129",1007998,"L'Ami, Erwin","1985-04-05","Woerden"
"130",662399,"Lagarde, Maxime","1994-03-16","Niort"
"131",4101685,"Landa, Konstantin","1972-05-22","Omsk"
"132",600016,"Lautier, Joel","1973-04-12","Scarborough, Toronto"
"133",316385,"Laznicka, Viktor","1988-01-09","Pardubice"
"134",12401137,"Lê Quang Liêm","1991-03-13","Ho Chi Minh City"
"135",703303,"Leko, Peter","1979-09-08","Subotica"
"136",2021285,"Lenderman, Aleksandr","1989-09-23","Leningrad"
"137",14603853,"Lenic, Luka","1988-05-13","Ljubljana"
"138",8604436,"Li, Chao b","1989-04-21","Taiyuan"
"139",8603332,"Lu, Shanglei","1995-07-10","Liaoning"
"140",1207822,"Lupulescu, Constantin","1984-03-25","Buftea"
"141",4150120,"Lysyj, Igor","1987-01-01","Yekaterinburg"
"142",8603154,"Ma, Qun","1991-11-09","Shandong"
"143",12539929,"Maghsoodloo, Parham","2000-08-11","Gorgan"
"144",4120787,"Malakhov, Vladimir","1980-11-27","Ivanovo"
"145",13401653,"Mamedov, Rauf","1988-04-26","Baku"
"146",13401319,"Mamedyarov, Shakhriyar","1985-04-12","Sumgait"
"147",112275,"Mareco, Sandro","1987-05-13","Haedo"
"148",3805662,"Martinez Alcantara, Jose Eduardo","1999-01-31","Lima"
"149",13306553,"Martirosyan, Haik M.","2000-07-14","Byuravan"
"150",4202694,"Mastrovasilis, Dimitrios","1983-06-12",NA
"151",4168003,"Matlakov, Maxim","1991-03-05","Leningrad"
"152",404853,"McShane, Luke J","1984-01-07","London"
"153",4675789,"Meier, Georg","1987-08-26","Trier"
"154",13302485,"Melkumyan, Hrant","1989-04-30","Yerevan"
"155",1304364,"Milov, Vadim","1972-08-01","Ufa"
"156",14102560,"Moiseenko, Alexander","1980-05-17","Severomorsk"
"157",1122401,"Moranda, Wojciech","1988-08-17","Kielce"
"158",4116992,"Morozevich, Alexander","1977-07-18","Moscow"
"159",4121830,"Motylev, Alexander","1979-06-17","Yekaterinburg"
"160",642908,"Moussard, Jules","1995-01-16","Paris"
"161",310204,"Movsesian, Sergei","1978-11-03","Tbilisi"
"162",2809052,"Nabaty, Tamir","1991-05-04","Ness Ziona"
"163",4650891,"Naiditsch, Arkadij","1985-10-25","Riga"
"164",4118987,"Najer, Evgeniy","1977-06-22","Moscow"
"165",2016192,"Nakamura, Hikaru","1987-12-09","Hirakata"
"166",5058422,"Narayanan, S. L.","1998-01-10","Thiruvananthapuram"
"167",2026961,"Naroditsky, Daniel","1995-11-09","San Mateo"
"168",309095,"Navara, David","1985-03-27","Prague"
"169",5016690,"Negi, Parimarjan","1993-02-09","New Delhi"
"170",4168119,"Nepomniachtchi, Ian","1990-07-14","Bryansk"
"171",12401110,"Nguy<U+1EC5>n Ng<U+1ECD>c Tru<U+1EDD>ng Son","1990-02-23","Rach Gia"
"172",8601160,"Ni, Hua","1983-05-31","Shanghai"
"173",1400355,"Nielsen, Peter Heine","1973-05-24","Holstebro"
"174",2093596,"Niemann, Hans Moke","2003-06-20","San Francisco"
"175",25092340,"Nihal Sarin","2004-07-13","Thrissur"
"176",1202758,"Nisipeanu, Liviu-Dieter","1976-08-01","Brasov"
"177",14118084,"Nyzhnyk, Illya","1996-09-27","Vinnytsia"
"178",14101025,"Onischuk, Alexander","1975-09-03","Sevastopol"
"179",14114038,"Onischuk, Vladimir","1991-07-21","Ivano-Frankivsk"
"180",24125890,"Oparin, Grigoriy","1997-07-01","Munich"
"181",4201345,"Papaioannou, Ioannis","1976-04-20","Athens"
"182",4194985,"Paravyan, David","1998-03-08","Moscow"
"183",13301578,"Pashikian, Arman","1987-07-28","Irkutsk"
"184",13300857,"Petrosyan, Manuel","1998-05-06",NA
"185",110973,"Pichot, Alan","1998-08-13","Buenos Aires"
"186",1000055,"Piket, Jeroen","1969-01-27","Leiden"
"187",14109158,"Pilavov, Georgy","1974-12-13","Luhansk"
"188",1130420,"Piorun, Kacper","1991-11-24","Lowicz"
"189",700070,"Polgar, Judit","1976-07-23","Budapest"
"190",4157800,"Ponkratov, Pavel","1988-07-15","Chelyabinsk"
"191",14103320,"Ponomariov, Ruslan","1983-10-11","Horlivka"
"192",4170350,"Popov, Ivan","1990-03-20","Rostov-on-Don"
"193",25059530,"Praggna­nandhaa R","2005-08-10","Chennai"
"194",24107581,"Predke, Alexandr","1994-01-05","Dimitrovgrad"
"195",13400924,"Radjabov, Teimour","1987-03-12","Baku"
"196",1610856,"Ragger, Markus","1988-02-05","Klagenfurt"
"197",4173708,"Rakhmanov, Aleksandr","1989-08-28","Cherepovets"
"198",738590,"Rapport, Richard","1996-03-25","Szombathely"
"199",4125029,"Riazantsev, Alexander","1985-09-12","Moscow"
"200",2023970,"Robson, Ray","1994-10-25","Guam"
"201",4115309,"Rublevsky, Sergei","1974-10-15","Kurgan"
"202",35093487,"Sadhwani, Raunak","2005-12-22","Nagpur"
"203",400173,"Sadler, Matthew D","1974-05-15","Chatham"
"204",13700464,"Sadvakasov, Darmen","1979-04-28","Astana"
"205",9301348,"Salem, A.R. Saleh","1993-01-04","Sharjah"
"206",2257327,"Salgado López, Iván","1991-06-29","Ourense"
"207",4100069,"Salov, Valery","1964-05-26","Wroclaw"
"208",2293307,"Santos Latasa, Jaime","1996-07-03","San Sebastián"
"209",22291482,"Santos Ruiz, Miguel","1999-10-04","Utrera"
"210",24133795,"Sarana, Alexey","2000-01-26","Moscow"
"211",13300881,"Sargissian, Gabriel","1983-09-03","Yerevan"
"212",13306766,"Sargsyan, Shant","2002-01-27","Yerevan"
"213",14508150,"Šaric, Ivan","1990-08-17","Split"
"214",5004985,"Sasikiran, Krishnan","1981-01-07","Chennai"
"215",2000032,"Seirawan, Yasser","1960-03-24","Damascus"
"216",5021596,"Sethuraman, S. P.","1993-02-25","Chennai"
"217",2040506,"Sevian, Samuel","2000-12-26","Corning"
"218",2004887,"Shankland, Sam","1991-10-01","Berkeley"
"219",14129574,"Shevchenko, Kirill","2002-09-22","Kyiv"
"220",2209390,"Shirov, Alexei","1972-07-04","Riga"
"221",400025,"Short, Nigel D","1965-06-01","Leigh"
"222",14113325,"Shtembuliak, Evgeny","1999-03-12","Illichivsk"
"223",4189302,"Sjugirov, Sanan","1993-01-31","Elista"
"224",2801990,"Smirin, Ilia","1968-01-12","Vitebsk"
"225",3208923,"Smirnov, Anton","2001-01-28","Canberra"
"226",5202213,"So, Wesley","1993-10-09","Bacoor"
"227",1107038,"Socko, Bartosz","1978-11-10","Piaseczno"
"228",1006673,"Stellwagen, Daniel","1987-03-01","Soest"
"229",2802007,"Sutovsky, Emil","1977-09-19","Baku"
"230",4657101,"Svane, Rasmus","1997-05-21","Allerød Municipality"
"231",4102142,"Svidler, Peter","1976-06-17","Leningrad"
"232",1126881,"Swiercz, Dariusz","1994-05-31","Tarnowskie Góry"
"233",12521213,"Tabatabaei, M. Amin","2001-02-05","Tehran"
"234",1510045,"Tari, Aryan","1999-06-04","Stavanger"
"235",13302531,"Ter-Sahakyan, Samvel","1993-09-19","Vanadzor"
"236",1008013,"Tiviakov, Sergei","1973-02-14","Krasnodar"
"237",618438,"Tkachiev, Vladislav","1973-11-09","Moscow"
"238",4147235,"Tomashevsky, Evgeny","1987-07-01","Saratov"
"239",2900084,"Topalov, Veselin","1975-03-15","Ruse"
"240",623539,"Vachier-Lagrave, Maxime","1990-10-21","Nogent-sur-Marne"
"241",5045185,"Vaibhav, Suri","1997-02-08","New Delhi"
"242",2205530,"Vallejo Pons, Francisco","1982-08-21","Es Castell"
"243",1039784,"Van Foreest, Jorden","1999-04-30","Groningen"
"244",1020854,"Van Kampen, Robin","1994-11-14","Blaricum"
"245",1000268,"Van Wely, Loek","1972-10-07","Heesch"
"246",2100789,"Vescovi, Giovanni","1978-06-14","Porto Alegre"
"247",4152956,"Vitiugov, Nikita","1987-02-04","Leningrad"
"248",13700014,"Vladimirov, Yevgeniy","1957-01-20","Alma Ata"
"249",813192,"Vocaturo, Daniele","1989-12-16","Rome"
"250",14107090,"Volokitin, Andrei","1986-06-18","Lviv"
"251",8602883,"Wang, Hao","1989-08-04","Harbin"
"252",8601429,"Wang, Yue","1987-03-31","Taiyuan"
"253",8603405,"Wei, Yi","1999-06-02","Wuxi"
"254",1118358,"Wojtaszek, Radoslaw","1987-01-13","Elblag"
"255",2047640,"Xiong, Jeffery","2000-10-30","Plano"
"256",14203987,"Yakubboev, Nodirbek","2002-01-23","Tashkent"
"257",8603820,"Yangyi, Yu","1994-06-08","Hubei"
"258",8600040,"Ye, Jiangchuan","1960-11-20","Wuxi"
"259",6302718,"Yilmaz, Mustafa","1992-11-05","Kastamonu"
"260",8600694,"Zhang, Zhong","1978-09-05","Chongqing"
"261",8602522,"Zhao, Jun","1986-12-12","Jinan"
"262",14116804,"Zherebukh, Yaroslav","1993-07-14","Lviv"
"263",8603537,"Zhou, Jianchao","1988-06-11","Shanghai"
"264",4113403,"Zvjaginsev, Vadim","1976-08-18","Moscow"
