,ID,Name,Birthdate,Birthplace,Country_of_birth,Latitude,Longitude
33,3518736,"Albornoz Cabrera, Carlos Daniel",12/26/2000,Camaguey,Cuba,21.3786,-77.9186
34,2000156,"Alburt, Lev",8/21/1945,Orenburg,Russia,51.7667,55.1
35,13500139,"Aleksandrov, Aleksej",5/11/1973,NA,NA,NA,NA
36,4135539,"Alekseenko, Kirill",6/22/1997,Vyborg,Russia,60.7092,28.7442
37,4138147,"Alekseev, Evgeny",11/28/1985,Pushkin,Russia,59.7176,30.406
38,6300529,"Ali Marandi, Cemil Can",1/17/1998,Izmir,Turkey,38.4127,27.1384
39,702293,"Almasi, Zoltan",8/29/1976,Jardanhaza,Hungary,48.1551,20.2477
40,3503313,"Almeida Quintana, Omar",10/28/1981,Havana,Cuba,23.1367,-82.3589
41,2270544,"Alonso Rosell, Alvar",9/13/1992,Figueres,Spain,42.2655,2.9581
42,105198,"Alonso, Salvador",9/7/1974,Buenos Aires,Argentina,-34.5997,-58.3819
43,2252627,"Alsina Leal, Daniel",5/10/1988,Barcelona,Spain,41.3825,2.1769
44,2801906,"Alterman, Boris",5/4/1970,Kharkiv,Ukraine,50,36.2292
45,3507408,"Alvarez Pedraza, Aramis",7/27/1988,Santa Clara,Cuba,22.4067,-79.9531
46,14000652,"Amanov, Mesgen",9/6/1986,Dasoguz,Turkmenistan,41.8167,59.9831
47,10601457,"Amin, Bassem",9/9/1988,Tanta,Egypt,30.7833,31
48,14700077,"Amonatov, Farrukh",4/13/1978,Dushanbe,Tajikistan,38.5731,68.7864
49,4204077,"Anagnostopoulos, Dimitri",6/11/1970,NA,NA,NA,NA
50,5000017,"Anand, Viswanathan",12/11/1969,Chennai,India,13.0825,80.275
51,1413864,"Andersen, Mads",3/1/1995,Nuuk,Greenland,64.175,-51.7333
52,1700014,"Andersson, Ulf",6/27/1951,Vasteras,Sweden,59.6173,16.5422
53,14103400,"Andreev, Eduard",3/12/1980,Slovyansk,Ukraine,48.8532,37.6053
54,4158814,"Andreikin, Dmitry",2/5/1990,Ryazan,Russia,54.6167,39.7167
55,13302000,"Andriasian, Zaven",3/11/1989,Yerevan,Armenia,40.1814,44.5144
56,602612,"Anic, Darko",4/30/1957,Zadar,Croatia,44.1167,15.2167
57,4135229,"Anisimov, Pavel",4/19/1986,Saint Petersburg,Russia,59.95,30.3167
58,700754,"Anka, Emil",1/20/1969,Bekescsaba,Hungary,46.6833,21.0833
59,5023335,"Ankit, R. Rajpara",8/27/1994,Ahmedabad,India,23.03,72.58
60,14000016,"Annageldyev, Orazly",3/20/1960,Abadan,Turkmenistan,38.0587,58.1779
61,14000032,"Annakov, Babakuli",5/29/1972,NA,NA,NA,NA
62,717312,"Antal, Gergely",3/20/1985,NA,NA,NA,NA
63,901008,"Antic, Dejan",12/9/1968,Belgrade,Serbia,44.8167,20.4667
64,4107012,"Antipov, Mikhail Al.",6/10/1997,Moscow,Russia,55.7558,37.6178
65,2285525,"Antón Guijarro, David",6/23/1995,Murcia,Spain,37.9861,-1.1303
66,1111078,"Antoniewski, Rafal",12/3/1980,Bielsko-Biala,Poland,49.8225,19.0444
67,5200032,"Antonio, Rogelio Jr",2/19/1962,NA,NA,NA,NA
68,1900013,"Antunes, Antonio",2/6/1962,Lisbon,Portugal,38.7452,-9.1604
69,5024366,"Anurag, Mhamal",4/28/1995,Panaji,India,15.48,73.83
70,600164,"Apicella, Manuel",4/19/1970,Longjumeau,France,48.6943,2.2958
71,4600924,"Appel, Ralf",7/18/1971,Pirmasens,Germany,49.2,7.6
72,13600168,"Arakhamia-Grant, Ketevan",7/19/1968,Ochamchira,Georgia,42.7083,41.4662
73,5072786,"Aravindh, Chithambaram VR.",9/11/1999,Thirunagar,India,9.8887,78.0495
74,4403177,"Arenas, David",12/24/1991,NA,NA,NA,NA
75,3500012,"Arencibia Rodriguez, Walter",7/21/1967,Holguin,Cuba,20.8872,-76.2631
76,14109530,"Areshchenko, Alexander",6/15/1986,Luhansk,Ukraine,48.5833,39.3333
77,2205092,"Arizmendi Martinez, Julen Luis",7/5/1976,Weehawken,United States,40.7664,-74.0254
78,35018701,Arjun Kalyan,6/17/2002,Chennai,India,13.0825,80.275
79,400270,"Arkell, Keith C",1/8/1961,Birmingham,United Kingdom,52.48,-1.9025
80,4101146,"Arkhipov, Sergey",6/23/1954,Moscow,Russia,55.7558,37.6178
81,2300036,"Arnason, Jon L",11/13/1960,Reykjavik,Iceland,64.1475,-21.935
82,2907127,"Arnaudov, G. Petar",8/8/1986,Plovdiv,Bulgaria,42.1433,24.7489
83,2022320,"Arnold, Marc",11/20/1992,New York City,United States,40.6943,-73.9249
84,13300474,"Aronian, Levon",10/6/1982,Yerevan,Armenia,40.1814,44.5144
85,13601865,"Aroshidze, Levan",7/9/1985,Tbilisi,Georgia,41.7225,44.7925
86,2283352,"Arribas Lopez, Angel",11/27/1993,Madrid,Spain,40.4167,-3.7167
87,24101605,"Artemiev, Vladislav",3/5/1998,Omsk,Russia,54.9667,73.3833
88,5011167,"Arun Prasad, S.",4/21/1988,Salem,India,11.65,78.1667
89,13601741,"Arutinian, David",5/31/1984,Tbilisi,Georgia,41.7225,44.7925
90,5084423,Aryan Chopra,12/10/2001,Delhi,India,28.66,77.23
91,13300660,"Arzumanian, Georgy",8/16/1980,Tbilisi,Georgia,41.7225,44.7925
92,13405764,"Asadli, Vugar",10/9/2001,Baku,Azerbaijan,40.3667,49.8352
93,13700049,"Asanov, Bolat",5/7/1961,Almaty,Kazakhstan,43.222,76.8512
94,2001012,"Ashley, Maurice",3/6/1966,Saint Andrew Parish,Jamaica,18.0391,-76.7567
95,5018137,"Ashwin, Jayaram",8/14/1990,Aluva,India,10.1004,76.357
96,2260735,"Asis Gargatagli, Hipolito",8/17/1986,Barcelona,Spain,41.3825,2.1769
97,4141229,"Askarov, Marat",6/29/1987,Kazan,Russia,55.7908,49.1144
98,14001101,"Atabayev, Maksat",12/28/1994,Gypjak,Turkmenistan,38.0305,58.2662
99,14401487,"Atalik, Suat",10/10/1964,Istanbul,Turkey,41.01,28.9603
100,4101529,"Averbakh, Yuri L",2/8/1922,Kaluga,Russia,54.5333,36.2667
101,14109743,"Aveskulov, Valeriy",1/31/1986,Antratsyt,Ukraine,48.1167,39.0833
102,2803895,"Avrukh, Boris",2/10/1978,Karagandy,Kazakhstan,49.8047,73.1094
103,13501470,"Azarov, Sergei",5/19/1983,Minsk,Belarus,53.9022,27.5618
104,13601326,"Azmaiparashvili, Zurab",3/16/1960,Tbilisi,Georgia,41.7225,44.7925
105,13400681,"Babaev, Rashad",9/3/1981,Baku,Azerbaijan,40.3667,49.8352
106,13301993,"Babujian, Levon",5/8/1986,Yerevan,Armenia,40.1814,44.5144
107,301264,"Babula, Vlastimil",10/2/1973,Uhersky Brod,Czech Republic,49.0251,17.6472
108,2500914,"Baburin, Alexander",2/19/1967,Nizhny Novgorod,Russia,56.3269,44.0059
109,3507416,"Bacallao Alonso, Yusnel",6/21/1988,Matanzas,Cuba,23.0494,-81.5736
110,3700488,"Bachmann, Axel",11/4/1989,Ciudad del Este,Paraguay,-25.5167,-54.6167
111,605506,"Bacrot, Etienne",1/22/1983,Lille,France,50.6278,3.0583
112,1200038,"Badea, Bela",2/21/1969,Aiud,Romania,46.3103,23.7167
113,13600133,"Bagaturov, Giorgi",11/28/1964,NA,NA,NA,NA
114,13303139,"Baghdasaryan, Vahe",3/20/1993,Yerevan,Armenia,40.1814,44.5144
115,12500283,"Bagheri, Amir",9/20/1978,NA,NA,NA,NA
116,13400401,"Bagirov, Rufat",10/10/1979,NA,NA,NA,NA
117,14104954,"Bagrationi, Alexander",7/13/1990,NA,NA,NA,NA
118,8602280,"Bai, Jinshi",5/18/1999,Jilin,China,43.85,126.55
119,13403028,"Bajarani, Ulvi",1/27/1995,Baku,Azerbaijan,40.3667,49.8352
120,14102196,"Baklan, Vladimir",2/25/1978,Kyiv,Ukraine,50.45,30.5236
121,5004195,"Bakre, Tejas",5/12/1981,NA,NA,NA,NA
122,4100263,"Balashov, Yuri S",3/12/1949,Shadrinsk,Russia,56.0833,63.6333
123,4688210,"Baldauf, Marco",4/16/1990,Rosenheim,Germany,47.8561,12.1289
124,1610201,"Balinov, Ilia",7/28/1966,Batak,Bulgaria,41.9442,24.219
125,728446,"Balog, Imre",10/28/1991,Bekescsaba,Hungary,46.6833,21.0833
126,718939,"Balogh, Csaba",3/10/1987,Budapest,Hungary,47.4983,19.0408
127,4202031,"Banikas, Hristos",5/20/1978,Thessaloniki,Greece,40.6401,22.9444
128,722413,"Banusz, Tamas",4/8/1989,Mohacs,Hungary,45.9958,18.6797
129,4667719,"Baramidze, David",9/27/1988,Tbilisi,Georgia,41.7225,44.7925
130,2115824,"Barbosa, Evandro Amorim",8/24/1992,Sao Sebastiao do Paraiso,Brazil,-20.9169,-46.9908
131,5201640,"Barbosa, Oliver",9/29/1986,Pasig,Philippines,14.5764,121.0851
132,5200059,"Barcenilla, Rogelio",1/23/1972,Bacolod,Philippines,10.6765,122.9509
133,4100140,"Bareev, Evgeny",11/21/1966,Yemanzhelinsk,Russia,54.75,61.3167
134,900214,"Barlov, Dragan",1/30/1957,Kragujevac,Serbia,44.0142,20.9394
135,2809958,"Baron, Tal",8/7/1992,NA,NA,NA,NA
136,4401824,"Barrientos, Sergio E",6/29/1986,Medellin,Colombia,6.2447,-75.5748
137,14200082,"Barsov, Alexei",4/3/1966,Samarkand,Uzbekistan,39.6542,66.9597
138,1112635,"Bartel, Mateusz",1/3/1985,Warsaw,Poland,52.2167,21.0333
139,5000025,"Barua, Dibyendu",10/27/1966,Chittagong,Bangladesh,22.3569,91.7832
140,7100094,"Barus, Cerdas",1/1/1962,Kabanjahe,Indonesia,3.105,98.4985
141,14117207,"Baryshpolets, Andrey",1/16/1991,Kyiv,Ukraine,50.45,30.5236
142,5018471,"Baskarans, Adhiban",8/15/1992,Mayiladuthurai,India,11.1018,79.6526
143,866970,"Basso, Pier Luigi",12/15/1997,Montebelluna,Italy,45.7753,12.0389
144,4900847,"Batchuluun, Tsegmed",2/4/1987,Ulaanbaatar,Mongolia,47.8864,106.9057
145,13602993,"Batsiashvili, Nino",1/1/1987,Batumi,Georgia,41.6458,41.6417
146,4902920,"Batsuren, Dambasuren",1/22/2004,NA,NA,NA,NA
147,14000237,"Batyrov, Sapar",11/29/1967,NA,NA,NA,NA
148,603767,"Bauer, Christian",1/11/1977,Forbach,France,49.19,6.9
149,3501728,"Becerra Rivero, Julio",10/15/1973,Havana,Cuba,23.1367,-82.3589
150,4137752,"Bedia, Melor",9/26/1979,NA,NA,NA,NA
151,1613782,"Beim, Valeri",3/17/1950,NA,NA,NA,NA
152,14602377,"Beliavsky, Alexander G",12/17/1953,Lviv,Ukraine,49.8419,24.0315
153,4103904,"Belikov, Vladimir",8/2/1971,NA,NA,NA,NA
154,600229,"Belkhodja, Slim",11/23/1962,NA,NA,NA,NA
155,696358,"Bellahcene, Bilel",3/14/1998,Strasbourg,France,48.5833,7.7458
156,2200031,"Bellon Lopez, Juan Manuel",5/8/1950,Valencia,Spain,39.47,-0.3764
157,4174003,"Belous, Vladimir",7/29/1993,Kamensk-Shakhtinsky,Russia,48.3141,40.269
158,4132394,"Belov, Vladimir",8/6/1984,Kirzhach,Russia,56.15,38.8667
159,4120213,"Belozerov, Andrei",6/17/1977,NA,NA,NA,NA
160,13603086,"Benidze, Davit",2/15/1991,Kutaisi,Georgia,42.25,42.7
161,2000091,"Benjamin, Joel",3/11/1964,New York City,United States,40.6943,-73.9249
162,722960,"Berczes, David",1/14/1990,Boras,Sweden,57.7304,12.92
163,4105249,"Berdichevski, Igor",7/15/1964,Moscow,Russia,55.7558,37.6178
164,14101440,"Berelowitsch, Alexander",7/2/1967,Kharkiv,Ukraine,50,36.2292
165,1204920,"Berescu, Alin-Mile",4/14/1980,Timisoara,Romania,45.7489,21.2087
166,1704060,"Berg, Emanuel",12/28/1981,Skovde,Sweden,58.3903,13.8461
167,718572,"Berkes, Ferenc",8/8/1985,Baja,Hungary,46.1833,18.9536
168,14100371,"Bernadskiy, Vitaliy",11/17/1994,Chernivtsi,Ukraine,48.2921,25.9358
169,311995,"Bernasek, Jan",5/31/1986,Moravska Trebova,Czech Republic,49.758,16.6643
170,4105451,"Beshukov, Sergei",4/1/1971,NA,NA,NA,NA
171,4105257,"Bezgodov, Alexei",6/30/1969,NA,NA,NA,NA
172,4601718,"Bezold, Michael",5/23/1972,Bayreuth,Germany,49.9481,11.5783
173,2011352,"Bhat, Vinay",6/4/1984,Santa Clara,United States,37.3645,-121.968
174,4901541,"Bilguun, Sumiya",3/25/1997,NA,NA,NA,NA
175,4676670,"Bindrich, Falko",10/17/1990,Zittau,Germany,50.8961,14.8072
176,4600045,"Bischoff, Klaus",6/9/1961,Ulm,Germany,48.3984,9.9916
177,14400294,"Bistric, Faruk",10/1/1958,Sarajevo,Bosnia and Herzegovina,43.8667,18.4167
178,5201110,"Bitoon, Richard",12/14/1975,Cebu,Philippines,10.6079,123.8858
179,2000431,"Biyiasas, Peter",11/19/1950,Athens,Greece,37.9842,23.7281
180,1444948,"Bjerre, Jonas Buhl",6/26/2004,NA,NA,NA,NA
181,900885,"Blagojevic, Dragisa",1/1/1966,Tuzla,Bosnia and Herzegovina,44.5381,18.6761
182,300047,"Blatny, Pavel",6/22/1968,Brno,Czech Republic,49.1953,16.6083
183,1107836,"Blehm, Pawel",4/17/1980,Olkusz,Poland,50.2813,19.5657
184,1709437,"Blomqvist, Erik",10/19/1990,Stockholm,Sweden,59.3294,18.0686
185,24651516,"Blübaum, Matthias",4/18/1997,Lemgo,Germany,52.0277,8.9043
186,2603608,"Bluvshtein, Mark",4/20/1988,Yaroslavl,Russia,57.6167,39.85
187,1106880,"Bobras, Piotr",9/9/1977,Bialystok,Poland,53.1167,23.1667
188,4138716,"Bocharov, Dmitry",10/20/1982,Novosibirsk,Russia,55.0333,82.9167
189,4180887,"Bocharov, Ivan",1/6/1990,Berdsk,Russia,54.75,83.1
190,4611268,"Boensch, Uwe",10/15/1958,Halle (Saale),Germany,51.497,11.9688
191,15000206,"Bogdanovski, Vlatko",12/31/1964,NA,NA,NA,NA
192,4692055,"Bogner, Sebastian",1/17/1991,Pforzheim,Germany,48.895,8.705
193,931152,"Bogosavljevic, Boban",4/26/1988,Vrsac,Serbia,45.1188,21.295
194,2904292,"Bojkov, Dejan",7/3/1977,Shumen,Bulgaria,43.27,26.9244
195,1017063,"Bok, Benjamin",1/25/1995,Lelystad,Netherlands,52.5167,5.4833
196,13900048,"Bologan, Victor",12/14/1971,Chisinau,Moldova,47.0105,28.8638
197,3500160,"Borges Matos, Juan",3/28/1966,Caimanera,Cuba,19.9947,-75.16
198,14603152,"Borisek, Jure",7/27/1986,Sempeter pri Gorici,Slovenia,45.9284,13.64
199,722340,"Boros, Denes",4/30/1988,Budapest,Hungary,47.4983,19.0408
200,14102811,"Borovikov, Vladislav",8/10/1973,NA,NA,NA,NA
201,14120828,"Bortnyk, Olexandr",10/18/1996,Oleksandrivka,Ukraine,48.9614,32.2319
202,2800055,"Boruchovsky, Avital",3/15/1997,Israel,Israel,31.046051,34.851612
203,14507927,"Bosiocic, Marin",8/8/1988,Rijeka,Croatia,45.3272,14.4411
204,5500010,"Bouaziz, Slim",4/16/1950,Tunis,Tunisia,36.8008,10.18
205,1011014,"Brandenburg, Daan",11/14/1987,Lelystad,Netherlands,52.5167,5.4833
206,4663527,"Braun, Arik",2/8/1988,Aresing,Germany,48.5317,11.2966
207,913723,"Brenjo, Slavisa",4/2/1974,Nevesinje,Bosnia and Herzegovina,43.2575,18.1124
208,600245,"Bricard, Emmanuel",5/4/1966,Versailles,France,48.8053,2.135
209,14506688,"Brkic, Ante",3/31/1988,Stari Mikanovci,Croatia,45.2858,18.5592
210,14100932,"Brodsky, Michail",3/27/1969,NA,NA,NA,NA
211,4635248,"Bromberger, Stefan",3/19/1982,Neuss,Germany,51.2003,6.6939
212,2037602,"Brown, Michael",8/24/1997,Irvine,United States,33.6772,-117.7738
213,813613,"Brunello, Sabino",6/27/1989,Lovere,Italy,45.8125,10.07
214,1300024,"Brunner, Lucas",5/29/1967,Bern,Switzerland,46.948,7.4474
215,3503739,"Bruzón Batista, Lázaro",5/2/1982,Holguin,Cuba,20.8872,-76.2631
216,1700219,"Brynell, Stellan",9/28/1962,NA,NA,NA,NA
217,4133285,"Bryzgalin, Kirill",12/14/1982,Sochi,Russia,43.5853,39.7203
218,8601445,"Bu, Xiangzhi",12/10/1985,Qingdao,China,36.1167,120.4
219,960047,"Budisavljevic, Luka",1/22/2004,Belgrade,Serbia,44.8167,20.4667
220,4651340,"Buhmann, Rainer",2/20/1981,Leimen,Germany,49.3481,8.6911
221,12400726,Bui Vinh,12/25/1976,NA,NA,NA,NA
222,14600030,"Bukic, Enver",12/2/1937,Banja Luka,Bosnia and Herzegovina,44.7667,17.1833
223,1121499,"Bulski, Krzysztof",2/12/1987,Czestochowa,Poland,50.8096,19.1222
224,4634284,"Bunzmann, Dimitrij",2/21/1982,Tekeli,Kazakhstan,44.8333,78.8167
225,1010697,"Burg, Twan",4/2/1990,Schijndel,Netherlands,51.6183,5.4364
226,2070901,"Burke, John M",7/1/2001,Neptune City,United States,40.2005,-74.0333
227,4105109,"Burmakin, Vladimir",6/6/1967,NA,NA,NA,NA
228,2806991,"Bykhovsky, Anatoly",11/19/1988,Samara,Russia,53.1833,50.1167
229,4101057,"Bykhovsky, Avigdor",3/5/1955,Moscow,Russia,55.7558,37.6178
230,3502783,"Cabrera, Alexis",12/25/1976,Matanzas,Cuba,23.0494,-81.5736
231,900249,"Cabrilo, Goran",7/1/1958,Gorazde,Bosnia and Herzegovina,43.6685,18.9749
232,100013,"Campora, Daniel H.",6/30/1957,San Nicolas de los Arroyos,Argentina,-33.3333,-60.2167
233,3400034,"Campos Moreno, Javier B.",3/6/1959,Santiago,Chile,-33.45,-70.6667
234,6302181,"Can, Emre",1/21/1990,Izmir,Turkey,38.4127,27.1384
235,725056,"Cao, Sang",9/6/1973,NA,NA,NA,NA
236,1503014,"Carlsen, Magnus",11/30/1990,Tonsberg,Norway,59.2981,10.4236
237,1705814,"Carlsson, Pontus",12/18/1982,Cali,Colombia,3.44,-76.5197
238,2020009,"Caruana, Fabiano",7/30/1992,Miami,United States,25.7839,-80.2102
239,2807394,"Caspi, Israel",3/11/1989,NA,NA,NA,NA
240,3800954,"Castaneda, Georgui",8/2/1976,Mytishchi,Russia,55.9167,37.7333
241,14500094,"Cebalo, Miso",2/6/1945,Zagreb,Croatia,45.8,15.95
242,600075,"Chabanon, Jean-Luc",8/13/1971,Clermont-Ferrand,France,45.7831,3.0824
243,4167392,"Chadaev, Nikolai",7/9/1988,Smolensk,Russia,54.7828,32.0453
244,5004225,"Chanda, Sandipan",8/13/1983,Kolkata,India,22.5411,88.3378
245,400050,"Chandler, Murray G",4/4/1960,Wellington,New Zealand,-41.2889,174.7772
246,25006711,"Chandra, Akshat",5/28/1999,Livingston,United States,40.7855,-74.3291
247,2602504,"Charbonneau, Pascal",5/6/1983,Montreal,Canada,45.5089,-73.5617
248,13500767,"Charnushevich, Aliaksei",12/18/1978,Lida,Belarus,53.8872,25.3028
249,2900440,"Chatalbashev, Boris",1/30/1974,Pleven,Bulgaria,43.4132,24.6169
250,2069342,"Checa, Nicolas",12/19/2001,New York City,United States,40.6943,-73.9249
251,4100859,"Chekhov, Valery A",11/27/1955,Moscow,Russia,55.7558,37.6178
252,4300033,"Cheng, Bobby",3/20/1997,Hamilton,New Zealand,-37.7833,175.2833
253,2905540,"Cheparinov, Ivan",11/26/1986,Asenovgrad,Bulgaria,42.0082,24.8773
254,4117301,"Cherniaev, Alexander",8/26/1969,Arkhangelsk,Russia,64.55,40.5333
255,715620,"Chernin, Alexander",3/6/1960,Kharkiv,Ukraine,50,36.2292
256,4167406,"Chernobay, Artem",6/23/1989,Fryazino,Russia,55.95,38.05
257,4117328,"Chernyshov, Konstantin",6/11/1967,NA,NA,NA,NA
258,13300717,"Chibukhchian, Artur",10/6/1979,Tbilisi,Georgia,41.7225,44.7925
259,13600036,"Chiburdanidze, Maia",1/17/1961,Kutaisi,Georgia,42.25,42.7
260,4108116,"Chigaev, Maksim",11/7/1996,Kemerovo,Russia,55.3333,86.0667
261,1211668,"Chirila, Ioan-Cristian",1/6/1991,Bucharest,Romania,44.4,26.0833
262,1512668,"Christiansen, Johan-Sebastian",6/10/1998,NA,NA,NA,NA
263,2000059,"Christiansen, Larry",6/27/1956,Riverside,United States,33.9381,-117.3948
264,201260,"Chuchelov, Vladimir",9/28/1969,Moscow,Russia,55.7558,37.6178
265,1700588,"Cicak, Slavko",10/25/1969,Podgorica,Montenegro,42.4304,19.2594
266,2253488,"Cifuentes Parada, Roberto",12/21/1957,Santiago,Chile,-33.45,-70.6667
267,12801259,"Cmilyte, Viktorija",8/6/1983,Siauliai,Lithuania,55.9349,23.3137
268,15000729,"Colovic, Aleksandar",1/6/1976,Skopje,Macedonia,41.9833,21.4333
269,2200325,"Comas Fabrego, Lluis",6/22/1971,Santa Eugenia de Berga,Spain,41.9013,2.2822
270,400181,"Conquest, Stuart C",3/1/1967,Ilford,United Kingdom,51.5588,0.0855
271,3801497,"Cordova, Emilio",7/8/1991,Lima,Peru,-12.05,-77.0333
272,3814017,"Cori Quispe, Kevin Joel",8/2/1999,Lima,Peru,-12.05,-77.0333
273,3802272,"Cori, Jorge",7/30/1995,Lima,Peru,-12.05,-77.0333
274,620084,"Cornette, Matthieu",9/4/1985,Begles,France,44.8086,-0.5478
275,3506690,"Corrales Jimenez, Fidel",7/7/1987,Pinar del Rio,Cuba,22.4122,-83.6719
276,1700030,"Cramling, Pia",4/23/1963,Stockholm,Sweden,59.3294,18.0686
277,3801969,"Cruz, Cristhian",2/7/1992,Lima,Peru,-12.05,-77.0333
278,4401190,"Cuartas, Jaime Alexander",10/28/1975,Medellin,Colombia,6.2447,-75.5748
279,3700267,"Cubas, Jose Fernando",4/9/1981,Asuncion,Paraguay,-25.3,-57.6333
280,2255570,"Cuenca Jimenez, Jose Fernando",3/17/1987,Granada,Spain,37.1781,-3.6008
281,307424,"Cvek, Robert",1/6/1979,Krnov,Czech Republic,50.0897,17.7039
282,14500086,"Cvitan, Ognjen",10/10/1961,Sibenik,Croatia,43.735,15.8952
283,1108760,"Cyborowski, Lukasz",6/21/1980,Legnica,Poland,51.2101,16.1619
284,1121219,"Czarnota, Pawel",4/14/1988,Olkusz,Poland,50.2813,19.5657
285,705268,"Czebe, Attila",12/26/1975,Budapest,Hungary,47.4983,19.0408
286,1005030,"Dambacher, Martijn",10/22/1979,Venlo,Netherlands,51.37,6.1681
287,900125,"Damljanovic, Branko",6/17/1961,Futog,Serbia,45.2416,19.7133
288,13300210,"Danielian, Elina",8/16/1978,Baku,Azerbaijan,40.3667,49.8352
289,1400185,"Danielsen, Henrik",1/21/1966,NA,NA,NA,NA
290,4144031,"Danin, Alexandre",3/14/1986,Bryansk,Russia,53.25,34.3667
291,12400084,"Dao, Thien Hai",5/10/1978,NA,NA,NA,NA
292,4600150,"Darga, Klaus",2/24/1934,Pankow,Germany,52.5929,13.4317
293,12502200,"Darini, Pouria",1/24/1991,Jiroft,Iran,28.6781,57.7406
294,6300014,"Dastan, Muhammed Batuhan",8/7/1997,Bursa,Turkey,40.1833,29.0667
295,4623606,"Dautov, Rustem",11/28/1965,Ufa,Russia,54.7333,55.9667
296,4000013,"David, Alberto",3/26/1970,Milan,Italy,45.4669,9.19
297,404420,"Davies, Nigel R",7/31/1960,Southport,United Kingdom,53.6475,-3.0053
298,2000105,"De Firmian, Nick",7/26/1957,Fresno,United States,36.7831,-119.7941
299,3501833,"De La Paz Perdomo, Frank",5/24/1975,Santa Clara,Cuba,22.4067,-79.9531
300,6900224,"De La Riva Aguado, Oscar",7/15/1972,Barcelona,Spain,41.3825,2.1769
301,2200040,"De La Villa Garcia, Jesus Maria",6/30/1958,Villahan,Spain,42.0504,4.1315
302,1003909,"De Vreugt, Dennis",11/4/1980,NA,NA,NA,NA
303,1226380,"Deac, Bogdan-Daniel",10/8/2001,Ramnicu Valcea,Romania,45.1047,24.3756
304,5024854,"Debashis, Das",6/27/1993,Bhubaneswar,India,20.2961,85.8245
305,5011132,Deepan Chakkravarthy J.,6/3/1987,NA,NA,NA,NA
306,600270,"Degraeve, Jean-Marc",1/26/1971,Tourcoing,France,50.7239,3.1612
307,2203138,"Del Rio De Angelis, Salvador G.",10/2/1976,NA,NA,NA,NA
308,2900394,"Delchev, Aleksander",7/15/1971,Sofia,Bulgaria,42.6979,23.3217
309,3503631,"Delgado Ramirez, Neuris",9/17/1981,NA,NA,NA,NA
310,632023,"Delorme, Axel",5/8/1990,Lyon,France,45.76,4.84
